ACSSF,2010m5,ar,001,0005,0000101,226,125,149,186,116,94,108,119,108,119,119,119,107,70,38,119,119,119,226,186,155,108,108,119,107,119,107,119,107,119,119,107,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000103,147,84,76,145,83,75,9,9,119,9,4,8,119,119,119,119,119,119,147,145,16,8,8,119,9,4,9,9,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000104,132,73,69,133,70,71,35,18,22,119,119,119,12,12,119,119,119,119,132,133,36,18,18,119,33,30,12,119,12,119,119,12,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000109,339,254,225,372,259,220,226,82,184,21,119,21,119,119,119,12,119,12,339,372,224,111,111,119,200,201,21,21,119,119,119,119,119,12,119,119,12,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000110,181,78,109,89,44,57,161,64,98,119,119,119,3,119,3,119,119,119,181,89,161,119,119,119,161,161,3,119,3,119,119,3,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000111,505,309,326,597,324,392,375,220,232,181,89,144,196,99,114,119,119,119,505,597,438,255,255,119,340,273,273,181,196,17,83,156,36,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000114,326,175,187,193,104,128,269,137,145,119,119,119,119,119,119,119,119,119,326,193,269,119,119,119,269,269,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000116,327,218,137,325,213,138,91,73,20,119,119,119,119,119,119,119,119,119,327,325,91,119,119,119,91,91,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000117,163,119,64,150,106,65,35,35,119,32,22,11,119,119,119,119,119,119,163,150,48,14,14,119,46,33,32,32,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000118,132,66,114,132,66,114,119,119,119,119,119,119,119,119,119,119,119,119,132,132,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000121,259,155,126,254,158,117,42,18,29,45,8,45,119,119,119,119,119,119,259,254,54,18,18,119,46,29,45,45,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000122,204,118,119,195,113,110,119,119,119,54,23,36,119,119,119,119,119,119,204,195,54,119,119,119,54,119,54,54,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000125,213,118,120,207,125,122,26,11,18,119,119,119,51,49,11,119,119,119,213,207,57,13,13,119,55,23,51,119,51,119,119,51,7,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000126,274,166,134,247,159,111,111,41,74,119,119,119,119,119,119,119,119,119,274,247,111,119,119,119,111,111,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000128,312,196,148,218,135,118,175,101,84,124,63,71,59,35,30,119,119,119,312,218,234,6,6,119,234,175,147,124,59,119,36,15,42,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000129,355,188,231,376,198,230,97,65,48,22,22,119,89,56,35,119,119,119,355,376,129,119,119,119,129,97,87,22,89,119,84,33,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000130,347,155,227,211,122,119,306,117,202,119,119,119,126,50,91,119,119,119,347,211,352,119,119,119,352,306,126,119,126,119,79,119,101,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000133,402,231,215,271,149,165,250,132,120,50,24,27,270,164,109,143,39,105,402,271,333,119,119,119,333,250,261,50,270,119,190,195,37,143,119,119,143,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000134,722,403,461,815,428,523,577,307,356,352,164,203,260,153,148,72,47,33,722,815,653,311,311,119,652,539,423,352,260,35,129,223,71,72,119,119,72,119,119,119,119,119,119,119,119,119,119,119,119
